customer_id,tenure_months,monthly_charges,support_tickets,contract,region,churned
C00000,7,101.2,3,month-to-month,west,1
C00001,55,63.69,3,two-year,east,0
C00002,47,79.09,2,two-year,north,0
C00003,32,15.0,0,one-year,east,0
C00004,31,41.09,0,two-year,south,0
C00005,61,62.66,0,two-year,west,0
C00006,7,43.2,0,month-to-month,east,1
C00007,50,87.86,3,one-year,south,0
C00008,15,119.93,1,month-to-month,east,0
C00009,7,40.58,1,one-year,east,0
C00010,38,49.06,1,month-to-month,east,1
C00011,70,75.89,2,month-to-month,south,0
C00012,53,110.28,1,month-to-month,east,0
C00013,55,39.44,4,two-year,north,0
C00014,51,76.23,1,month-to-month,south,0
C00015,56,115.53,1,month-to-month,south,1
C00016,37,28.71,6,month-to-month,east,1
C00017,10,37.97,2,month-to-month,west,1
C00018,60,59.41,5,two-year,west,1
C00019,32,56.99,1,one-year,south,0
C00020,36,90.32,2,month-to-month,east,1
C00021,27,76.04,2,month-to-month,north,1
C00022,13,25.63,1,month-to-month,south,1
C00023,66,82.89,0,month-to-month,east,0
C00024,56,55.56,2,two-year,east,0
C00025,46,101.86,2,one-year,west,1
C00026,29,54.31,1,month-to-month,south,0
C00027,59,54.08,1,one-year,west,0
C00028,39,83.53,0,month-to-month,west,1
C00029,32,89.07,0,one-year,east,1
C00030,32,81.2,1,month-to-month,north,0
C00031,17,27.86,1,one-year,south,0
C00032,7,83.45,2,month-to-month,west,1
C00033,40,44.14,0,two-year,east,0
C00034,64,75.88,2,month-to-month,west,0
C00035,5,34.41,0,month-to-month,west,1
C00036,61,81.16,2,month-to-month,north,0
C00037,59,49.84,0,month-to-month,west,0
C00038,20,37.93,4,month-to-month,south,1
C00039,45,87.85,1,one-year,west,0
C00040,12,76.04,1,one-year,east,0
C00041,54,54.65,0,month-to-month,south,0
C00042,50,106.28,2,one-year,north,1
C00043,26,58.98,2,one-year,north,0
C00044,5,70.8,3,month-to-month,east,1
C00045,69,76.72,2,month-to-month,east,0
C00046,32,54.51,0,month-to-month,east,0
C00047,64,81.78,1,month-to-month,north,0
C00048,49,56.66,1,one-year,east,0
C00049,56,59.71,2,two-year,north,0
C00050,54,104.07,1,one-year,north,0
C00051,14,43.99,2,month-to-month,south,1
C00052,26,15.0,5,one-year,east,0
C00053,34,110.27,3,one-year,east,0
C00054,36,133.73,1,month-to-month,west,0
C00055,4,59.87,1,two-year,west,1
C00056,39,21.58,3,month-to-month,south,1
C00057,11,62.24,2,month-to-month,west,1
C00058,53,62.84,1,month-to-month,north,0
C00059,49,65.25,0,month-to-month,west,0
C00060,66,42.17,3,two-year,south,1
C00061,53,84.49,3,month-to-month,west,0
C00062,27,83.11,2,month-to-month,west,1
C00063,69,32.64,2,month-to-month,east,0
C00064,30,87.48,0,month-to-month,west,0
C00065,24,121.32,2,month-to-month,north,1
C00066,65,74.3,2,month-to-month,north,1
C00067,27,61.57,2,one-year,east,1
C00068,6,66.45,4,month-to-month,east,0
C00069,34,85.38,2,one-year,north,0
C00070,57,26.73,0,month-to-month,east,0
C00071,14,74.11,1,one-year,north,0
C00072,33,60.24,1,two-year,west,0
C00073,10,116.2,1,month-to-month,north,1
C00074,49,65.65,1,month-to-month,south,0
C00075,34,111.7,0,two-year,west,0
C00076,24,42.41,2,month-to-month,east,0
C00077,17,84.68,0,one-year,east,0
C00078,41,77.99,0,month-to-month,east,0
C00079,48,48.27,1,month-to-month,west,0
C00080,67,74.43,2,month-to-month,south,0
C00081,32,100.31,2,two-year,west,0
C00082,12,61.91,1,month-to-month,east,1
C00083,60,27.7,1,one-year,west,0
C00084,45,69.56,2,one-year,east,0
C00085,50,47.44,2,month-to-month,north,0
C00086,7,61.44,4,month-to-month,east,1
C00087,23,67.96,2,month-to-month,west,1
C00088,55,27.36,2,month-to-month,north,1
C00089,60,29.61,2,one-year,west,0
C00090,31,82.05,2,month-to-month,north,1
C00091,58,56.93,0,month-to-month,west,0
C00092,60,15.0,0,one-year,west,0
C00093,28,89.62,2,one-year,north,0
C00094,64,76.81,0,month-to-month,east,0
C00095,21,52.15,2,one-year,north,1
C00096,18,37.08,2,month-to-month,east,1
C00097,49,90.9,2,one-year,west,0
C00098,46,78.73,2,month-to-month,north,1
C00099,10,129.57,1,month-to-month,north,1
C00100,60,80.5,1,month-to-month,south,0
C00101,15,79.69,1,one-year,south,0
C00102,58,65.83,1,one-year,north,0
C00103,1,90.42,1,month-to-month,south,0
C00104,57,85.63,1,two-year,south,0
C00105,56,101.29,2,two-year,north,0
C00106,56,56.97,2,month-to-month,south,0
C00107,48,59.11,2,one-year,north,0
C00108,34,58.02,1,month-to-month,west,0
C00109,51,89.77,1,two-year,west,0
C00110,20,107.46,0,month-to-month,south,1
C00111,56,58.53,6,month-to-month,west,1
C00112,40,59.38,0,month-to-month,south,0
C00113,33,77.85,2,month-to-month,west,0
C00114,36,63.86,1,one-year,north,0
C00115,41,93.8,2,month-to-month,south,1
C00116,3,15.0,0,month-to-month,east,1
C00117,10,49.33,1,month-to-month,north,1
C00118,18,50.44,0,two-year,west,0
C00119,9,15.0,1,one-year,south,0
C00120,32,45.91,1,month-to-month,south,1
C00121,48,47.12,1,month-to-month,south,0
C00122,47,64.97,0,month-to-month,west,0
C00123,34,97.82,0,two-year,north,1
C00124,61,63.87,0,one-year,west,0
C00125,41,44.23,4,one-year,west,0
C00126,6,68.58,2,two-year,west,1
C00127,55,96.23,4,month-to-month,west,1
C00128,41,45.6,2,one-year,west,0
C00129,46,47.24,2,month-to-month,east,1
C00130,41,83.96,1,month-to-month,south,1
C00131,40,64.46,4,month-to-month,south,0
C00132,7,86.19,1,month-to-month,west,1
C00133,40,69.66,0,two-year,south,0
C00134,57,87.54,1,month-to-month,east,0
C00135,22,44.12,1,two-year,north,0
C00136,43,69.7,2,one-year,south,0
C00137,3,64.73,1,one-year,south,0
C00138,25,39.6,1,two-year,south,0
C00139,32,30.91,1,month-to-month,east,0
C00140,70,87.14,0,month-to-month,east,0
C00141,16,61.23,1,month-to-month,south,1
C00142,20,44.44,2,month-to-month,north,1
C00143,30,67.6,4,two-year,east,1
C00144,71,98.2,1,month-to-month,north,0
C00145,61,15.0,2,month-to-month,west,0
C00146,3,32.58,1,month-to-month,west,1
C00147,17,46.93,2,month-to-month,north,1
C00148,59,106.53,2,one-year,south,0
